Designator,Mid X,Mid Y,Rotation,Layer
D1,124.8,-82.95,270.0,bottom
J1,142.9,-88.245,90.0,top
J2,113.363,-88.25,270.0,top
RZ1,126.93,-88.82995,0.0,top
